"Note: This sheet takes a couple seconds to filter because it is MASSIVE, 
so please be patient and don't change too many settings too quickly",,,,,CR,,Spellcaster,Legendary,Lair,Unique,Familiar,Template,Arctic,Coastal,Desert,Forest,Grassland,Hill,Mountain,Swamp,Underdark,Underwater,Urban,Other Plane,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dire Troll,Huge,Giant,,Chaotic Evil,13,,,,,,,,x,,,x,,x,x,,x,,,,Mordenkainen Presents: Monsters of the Multiverse,246,Mordenkainen's Tome of Foes 243,,Isperia,Gargantuan,Monstrosity,,Lawful Neutral,21,,x,x,,x,,,,,,,,,,,,,ø,,Guildmaster's Guide to Ravnica,227,,,,,,,,,,,
Dire Wolf,Large,Beast,,Unaligned,1,,,,,,,,,,,x,,x,,,,,,,Monster Manual,321,Player's Handbook 305,,Lawmage,Medium,Humanoid,Any Race,Lawful Neutral,6,,x,,,,,,,,,,,,,,,,ø,,Guildmaster's Guide to Ravnica,228,,,,,,,,,,,
Dirt-Under-Nails,Medium,Plant,,Neutral Evil,7,,x,,,x,,,,,,,,,,,,,,,Return to the Glory,32,,,Precognitive Mage,Medium,Humanoid,Any Race,Lawful Neutral,3,,x,,,,,,,,,,,,,,,,ø,,Guildmaster's Guide to Ravnica,228,,,,,,,,,,,
Displacer Beast,Large,Monstrosity,,Lawful Neutral,3,,,,,,,,,,,x,,,,,,,,,Monster Manual,81,,,Aurelia,Medium,Celestial,Angel,Lawful Good,23,,,x,,x,,,,,,,,,,,,,ø,ø,Guildmaster's Guide to Ravnica,230,,,,,,,,,,,
Displacer Beast Kitten,Small,Monstrosity,,Unaligned,1/8,,,,,,,,,,,x,,,,,,,,,The Wild Beyond The Witchlight,108,,,Firefist,Medium,Humanoid,Any Race,Lawful Good,7,,x,,,,,,,,,,,,,,,,ø,,Guildmaster's Guide to Ravnica,231,,,,,,,,,,,
Dissimortuum,Medium,Undead,,Chaotic Evil,7,,,,,,,,,,,,,,,,,,ø,,Tome of Beasts,119,,,Frontline Medic,Medium,Humanoid,Any Race,Lawful Good,1/4,,x,,,,,,,,,,,,,,,,ø,,Guildmaster's Guide to Ravnica,231,,,,,,,,,,,
Diviner,Medium,Humanoid,Any Race,Any,8,,x,,,,,,,,,,,,,,,,x,,Volo's Guide to Monsters,213,,,Reckoner,Medium,Humanoid,Any Race,Lawful Good,4,,x,,,,,,,,,,,,,,,,ø,,Guildmaster's Guide to Ravnica,231,,,,,,,,,,,
Diviner Wizard,Medium,Humanoid,,Any,8,,x,,,,,,,,,,,,,,,,x,,Mordenkainen Presents: Monsters of the Multiverse,261,,,Lazav,Medium,Monstrosity,Shapechanger,Neutral Evil,17,,x,x,,x,,,,,,,,,,,ø,,ø,,Guildmaster's Guide to Ravnica,232,,,,,,,,,,,
Djinni,Large,Elemental,,Chaotic Good,11,,x,,,,,,,x,,,,,,,,,,,Monster Manual,144,,,Mind Mage,Medium,Humanoid,Any Race,Neutral Evil,5,,x,,,,,,,,,,,,,,ø,,ø,,Guildmaster's Guide to Ravnica,233,,,,,,,,,,,
Dogmole,Medium,Beast,,Neutral,1,,,,,,,,,,,,,,ø,,ø,,,,Tome of Beasts,120,,,Thought Spy,Medium,Humanoid,Any Race,Neutral Evil,1,,x,,,,,,,,,,,,,,ø,,ø,,Guildmaster's Guide to Ravnica,233,,,,,,,,,,,
Dogmole Juggernaut,Large,Monstrosity,,Neutral,5,,,,,,,,,,,,,,ø,,ø,,,,Tome of Beasts,121,,,Jarod Vod Savo,Medium,Undead,,Neutral Evil,22,,x,x,x,x,,,,,,,,,,ø,ø,,ø,,Guildmaster's Guide to Ravnica,235,,,,,,,,,,,
Dohwar,Small,Fey,,Any,0,,x,,,,,,,,,,,,,,,,,,Boo's Astral Menagerie,19,,,Golgari Shaman,Medium,Humanoid,Elf,Neutral Evil,5,,x,,,,,,,,,,,,,ø,ø,,ø,,Guildmaster's Guide to Ravnica,236,,,,,,,,,,,
Dolgaunt,Medium,Aberration,,Lawful Evil,3,,,,,,,,,,,,,,,,x,,,x,Eberron: Rising from the Last War,290,,,Borborygmos,Huge,Giant,,Chaotic Neutral,18,,,x,,x,,,,,,ø,ø,ø,,,,,ø,,Guildmaster's Guide to Ravnica,238,,,,,,,,,,,
Dolgrim,Small,Aberration,,Chaotic Evil,1/2,,,,,,,,,,,,,,,,x,,,x,Eberron: Rising from the Last War,291,,,Anarch,Small,Humanoid,Any Race,Chaotic Neutral,1/4,,,,,,,,,,,ø,ø,ø,,,,,ø,,Guildmaster's Guide to Ravnica,239,,,,,,,,,,,
Dolphin,Medium,Beast,,Unaligned,1/8,,,,,,,,,x,,,,,,,,x,,,Mordenkainen Presents: Monsters of the Multiverse,97,Volo's Guide to Monsters 208,,Druid of the Old Ways,Medium,Humanoid,Any Race,Chaotic Neutral,7,,x,,,,,,,,,ø,ø,ø,,,,,ø,,Guildmaster's Guide to Ravnica,239,,,,,,,,,,,
Dolphin Delighter,Medium,Fey,,Chaotic Good,3,,,,,,,,,x,,,,,,,,x,,,Mordenkainen Presents: Monsters of the Multiverse,97,,,Rubblebelt Stalker,Medium,Humanoid,Any Race,Chaotic Neutral,1/2,,,,,,,,,,,ø,ø,ø,,,,,ø,,Guildmaster's Guide to Ravnica,239,,,,,,,,,,,
Domovoi,Medium,Fey,,Chaotic Neutral,4,,x,,,,,,,,,ø,,,,,ø,,ø,,Tome of Beasts,122,,,Niv-Mizzet,Gargantuan,Dragon,,Chaotic Neutral,26,,x,x,,x,,,,,,,,,,,,,ø,,Guildmaster's Guide to Ravnica,241,,,,,,,,,,,
Donaar Blit'zen,Medium,Humanoid,Dragonborn,Chaotic Good,3,,x,,,x,,,,,,,,,,,,,ø,,Acquisitions Incorporated,201,,,Curse of Strahdmotronic Blastseeker,Medium,Humanoid,Any Race,Chaotic Neutral,4,,x,,,,,,,,,,,,,,,,ø,,Guildmaster's Guide to Ravnica,242,,,,,,,,,,,
Doom Golem,Large,Construct,,Unaligned,10,,,,,,,,x,x,x,x,x,x,x,x,x,x,x,x,Creature Codex,197,,,Counterflux Blastseeker,Medium,Humanoid,Any Race,Chaotic Neutral,2,,x,,,,,,,,,,,,,,,,ø,,Guildmaster's Guide to Ravnica,242,,,,,,,,,,,
Doombat,Large,Monstrosity,,Unaligned,3,,,,,,,,,,,,,,,,x,,,,Fifth Edition Foes,23,,,Flux Blastseeker,Medium,Humanoid,Any Race,Chaotic Neutral,5,,x,,,,,,,,,,,,,,,,ø,,Guildmaster's Guide to Ravnica,242,,,,,,,,,,,
Doomguard Doom Lord,Small or Medium,Humanoid,,Any,12,,,,,,,,,,,,,,,,,,,x,Morte's Planar Parade,54,,,Galvanic Blastseeker,Medium,Humanoid,Any Race,Chaotic Neutral,5,,x,,,,,,,,,,,,,,,,ø,,Guildmaster's Guide to Ravnica,243,,,,,,,,,,,
Doomguard Rot Blade,Small or Medium,Humanoid,,Any,6,,,,,,,,,,,,,,,,,,,x,Morte's Planar Parade,56,,,Scorchbringer Guard,Medium,Humanoid,Any Race,Chaotic Neutral,1/2,,,,,,,,,,,,,,,,,,ø,,Guildmaster's Guide to Ravnica,243,,,,,,,,,,,
Doomspeaker,Medium,Humanoid,Any Race,Chaotic Evil,6,,x,,,,,,x,x,x,x,x,x,x,x,x,x,x,x,Creature Codex,399,,,Obzedat Ghost,Medium,Undead,,Lawful Neutral,8,,x,x,,,,,,,,,,,,,,,ø,ø,Guildmaster's Guide to Ravnica,245,,,,,,,,,,,
Doomwake Giant,Huge,Giant,,Lawful Evil,11,,,,,,,,,,,,,,,,,,,,Mythic Odysseys of Theros,224,,,Rakdos,Huge,Fiend,Demon,Chaotic Evil,24,,x,x,x,x,,,,,,,,,,,ø,,,ø,Guildmaster's Guide to Ravnica,247,,,,,,,,,,,
Doppelganger,Medium,Monstrosity,Shapechanger,Neutral,3,,,,,,,,,,,,,,,,x,,x,,Monster Manual,82,"Infernal Machine Rebuild 63, Lost Mines of Phandelver 56",,Blood Witch,Medium,Humanoid,Any Race,Chaotic Evil,7,,x,,,,,,,,,,,,,,ø,,ø,,Guildmaster's Guide to Ravnica,248,,,,,,,,,,,
Doppelrat,Tiny,Monstrosity,,Unaligned,2,,,,,,,,,,,,,,,,ø,,ø,,Tome of Beasts,123,,,Rakdos Lampooner,Medium,Humanoid,Any Race,Chaotic Evil,2,,x,,,,,,,,,,,,,,ø,,ø,,Guildmaster's Guide to Ravnica,248,,,,,,,,,,,
Dorreq,Medium,Aberration,,Neutral Evil,4,,x,,,,,,,ø,ø,,ø,ø,ø,ø,ø,,,,Tome of Beasts,124,,,Rakdos Performer,Medium,Humanoid,Any Race,Chaotic Evil,1,,,,,,,,,,,,,,,,ø,,ø,,Guildmaster's Guide to Ravnica,248,,,,,,,,,,,
Doty X,Medium,Construct,,Not Provided,6,,,,,x,,,,,,,,,,,,,,,Tal'Dorei Campaign Setting Reborn,272,,,Trostani,Large,Fey,,Neutral Good,18,,x,x,,x,,,,,,ø,,,,,,,,,Guildmaster's Guide to Ravnica,252,,,,,,,,,,,
Dracoform Eremite Symbiont,Large,Aberration,,Chaotic Evil,12,,,,,,,,,,,,,,,,,,,x,Sandy Petersen's Cthulhu Mythos,310,,,Horncaller,Medium,Humanoid,Any Race,Lawful Good,1,,x,,,,,,,,,ø,ø,ø,,,,,ø,,Guildmaster's Guide to Ravnica,253,,,,,,,,,,,
Dracoform-Bound Eremite,Large,Aberration,,Chaotic Evil,19,,x,x,,,,,,,,,,,,,,,,,Sandy Petersen's Cthulhu Mythos,311,,,Zegana,Medium,Humanoid,Merfolk,Lawful Neutral,16,,x,x,,x,,,,,,,,,,,,ø,ø,,Guildmaster's Guide to Ravnica,255,,,,,,,,,,,
Dracohydra,Huge,Monstrosity,,Chaotic Evil,11,,,,,,,,,,,,,,,,,,,,Fizban's Treasury of Dragons,176,,,Biomancer,Medium,Humanoid,Any Race,Neutral Good,10,,x,,,,,,,,,,,,,,,ø,ø,,Guildmaster's Guide to Ravnica,256,,,,,,,,,,,
Draconian Dreadnought,Large,Monstrosity,,Any,4,,,,,,,,,,,,,,,,,,,,Fizban's Treasury of Dragons,177,,,Ambush Drake,Medium,Dragon,,Unaligned,1/2,,,,,,,,,,,,,,,,,,,,Hoard of the Dragon Queen,88,,,,,,,,,,,
Draconian Footsoldier,Medium,Monstrosity,,Any,1/2,,,,,,,,,,,,,,,,,,,,Fizban's Treasury of Dragons,178,,,Azbara Jos,Medium,Humanoid,Human,Lawful Neutral,4,,x,,,x,,,,,,,,,,,,,,,Hoard of the Dragon Queen,88,,,,,,,,,,,
Draconian Infiltrator,Medium,Monstrosity,,Any,3,,,,,,,,,,,,,,,,,,,,Fizban's Treasury of Dragons,178,,,Blagothkus,Huge,Giant,Cloud Giant,Neutral Evil,9,,x,,,x,,,,,,,,,,,,,,,Hoard of the Dragon Queen,89,,,,,,,,,,,
Draconian Mage,Medium,Monstrosity,,Any,2,,x,,,,,,,,,,,,,,,,,,Fizban's Treasury of Dragons,179,,,Captain Othelstan,Medium,Humanoid,Human,Lawful Neutral,5,,,,,x,,,,,,,,,,,,,,,Hoard of the Dragon Queen,89,,,,,,,,,,,
Draconian Mastermind,Medium,Monstrosity,,Any,6,,x,,,,,,,,,,,,,,,,,,Fizban's Treasury of Dragons,180,,,Dragonclaw,Medium,Humanoid,Human,Neutral Evil,1,,,,,,,,,,,,,,,,,,,,Hoard of the Dragon Queen,89,Rise of Tiamat 89,,,,,,,,,,
Draconic Amalgam,Gargantuan,Dragon,,Unaligned,12,,,,,,,,,,,,,,,,x,,,,Sandy Petersen's Cthulhu Mythos,402,,,Dragonwing,Medium,Humanoid,Human,Neutral Evil,2,,,,,,,,,,,,,,,,,,,,Hoard of the Dragon Queen,89,Rise of Tiamat 90,,,,,,,,,,
Draconic Shard,Huge,Undead,,Neutral,17,,,x,,,,,,,,,,,,,,,,,Fizban's Treasury of Dragons,181,,,Dralmorrer Borngray,Medium,Humanoid,High-Elf,Neutral Evil,3,,x,,,x,,,,,,,,,,,,,,,Hoard of the Dragon Queen,90,,,,,,,,,,,
Dracotaur,Large,Dragon,,Chaotic Neutral,6,,,,,,,,,,,,x,x,,,,,,,Creature Codex,110,,,Frulam Mondath,Medium,Humanoid,Human,Lawful Neutral,2,,x,,,x,,,,,,,,,,,,,,,Hoard of the Dragon Queen,90,,,,,,,,,,,
Draegloth,Small,Fiend,Demon,Neutral Evil,4,,x,,,,,,,,,,,,,,,,,ø,Monster a Day Compendium 2.0,32,,,Jamna Gleamsilver,Small,Humanoid,Gnome,Neutral,1,,x,,,x,,,,,,,,,,,,,,,Hoard of the Dragon Queen,91,,,,,,,,,,,
Draegloth,Large,Fiend,demon,Chaotic Evil,7,,x,,,,,,,,,,,,,,x,,,,Mordenkainen Presents: Monsters of the Multiverse,98,,,Langdedrosa Cyanwrath,Medium,Humanoid,Half-Dragon,Lawful Neutral,4,,,,,x,,,,,,,,,,,,,,,Hoard of the Dragon Queen,91,,,,,,,,,,,
Draegloth,Large,Fiend,Demon,Chaotic Evil,7,,x,,,,,,,,,,,,,,x,,,,Volo's Guide to Monsters,141,,,Pharblex Spattergoo,Medium,Humanoid,Bullywug,Chaotic Evil,3,,x,,,x,,,,,,,,,,,,,,,Hoard of the Dragon Queen,91,,,,,,,,,,,
Draft Horse,Large,Beast,,Unaligned,1/4,,,,,,,,,,,,,,,,,,x,,Monster Manual,321,,,Rath Modar,Medium,Humanoid,Human,Lawful Neutral,6,,x,,,x,,,,,,,,,,,,,,,Hoard of the Dragon Queen,92,Rise of Tiamat 91,,,,,,,,,,
Dragon Army Dragonnel,Large,Dragon,,Lawful Evil,3,,,,,,,,,,,,,,,,,,,,Dragonlance: Shadow of the Dragon Queen,201,,,Rezmir,Medium,Humanoid,Half-Black Dragon,Neutral Evil,7,,,x,,x,,,,,,,,,,,,,,,Hoard of the Dragon Queen,93,,,,,,,,,,,
Dragon Army Officer,Medium,Humanoid,,Lawful Evil,3,,,,,,,,,,,,,,,,,,,,Dragonlance: Shadow of the Dragon Queen,200,,,Talis The White,Medium,Humanoid,Half-Elf,Lawful Neutral,5,,x,,,x,,,,,,,,,,,,,,,Hoard of the Dragon Queen,93,,,,,,,,,,,
Dragon Army Soldier,Medium,Humanoid,,Lawful Evil,1,,,,,,,,,,,,,,,,,,,,Dragonlance: Shadow of the Dragon Queen,200,,,Avarice,Medium,Humanoid,Tiefling,Lawful Evil,7,,x,,,x,,,,,,,,,,,,,,,Icewind Dale: Rime of the Frostmaiden,270,,,,,,,,,,,
Dragon Blessed,Medium,Humanoid,,Any,5,,x,,,,,,,,,,,,,,,,ø,,Fizban's Treasury of Dragons,188,,,Dzaan's Simulacrum,Medium,Construct,,Lawful Evil,1,,x,,,x,,,,,,,,,,,,,,,Icewind Dale: Rime of the Frostmaiden,270,,,,,,,,,,,
Dragon Chosen,Medium,Humanoid,,Any,3,,,,,,,,,,,,,,,,,,ø,,Fizban's Treasury of Dragons,189,,,Nass Lantomir's Ghost,Medium,Undead,,Neutral Evil,6,,x,,,x,,,,,,,,,,,,,,,Icewind Dale: Rime of the Frostmaiden,272,,,,,,,,,,,
Dragon Eel,Huge,Dragon,,Neutral,12,,,,,,,,,ø,,,,,,,ø,ø,,,Tome of Beasts,146,,,Vellyne Harpell,Medium,Humanoid,Human,Neutral,4,,x,,,x,,,,,,,,,,,,,,,Icewind Dale: Rime of the Frostmaiden,274,,,,,,,,,,,
Dragon Speaker,Small,Humanoid,,Any,2,,x,,,,,,,,,,,,,,,,ø,,Fizban's Treasury of Dragons,189,,,Auril (First Form),Medium,Monstrosity,,Neutral Evil,9,,x,x,x,x,,,x,,,,,,,,,,,,Icewind Dale: Rime of the Frostmaiden,275,,,,,,,,,,,
Dragon Tortoise,Gargantuan,Dragon,,Neutral,17,,,,,x,,,,x,,,,,,,,ø,,,Candlekeep Mysteries,205,,,Auril (Second Form),Large,Elemental,,Neutral Evil,10,,,x,x,x,,,x,,,,,,,,,,,,Icewind Dale: Rime of the Frostmaiden,277,,,,,,,,,,,
Dragon Turtle,Gargantuan,Dragon,,Neutral,17,,,,,,,,,x,,,,,,,,x,,,Monster Manual,119,,,Auril (Third Form),Small,Elemental,,Neutral Evil,11,,,x,x,x,,,x,,,,,,,,,,,,Icewind Dale: Rime of the Frostmaiden,278,,,,,,,,,,,
Dragon Turtle Wyrmling,Large,Dragon,,Neutral,4,,,,,,,,,,,,,,,,,ø,,,Fizban's Treasury of Dragons,192,,,Chardalyn Berserker,Medium,Fiend,,Chaotic Evil,4,,,,,,,,x,,,,,,,,,,,,Icewind Dale: Rime of the Frostmaiden,280,,,,,,,,,,,
Dragonbait,Medium,Humanoid,Surial,Lawful Good,5,,,,,x,,,,,,,,,,,,,,,Tomb of Annihilation,218,,,Chardalyn Dragon,Huge,Construct,,Chaotic Evil,11,,,,,,,,ø,,,,,,,,,,,,Icewind Dale: Rime of the Frostmaiden,281,,,,,,,,,,,
Dragonblood Ooze,Large,Ooze,,Unaligned,5,,,,,,,,,,,,,,,,,ø,ø,,Fizban's Treasury of Dragons,182,,,Chwinga,Tiny,Elemental,,Neutral,0,,x,,,,,,ø,ø,ø,ø,ø,ø,ø,ø,ø,ø,,,Icewind Dale: Rime of the Frostmaiden,282,Tomb of Annihilation 216,,,,,,,,,,
Dragonbone Golem,Large,Construct,,Unaligned,11,,,,,,,,,,,,,,,,,,,,Fizban's Treasury of Dragons,183,,,Coldlight Walker,Medium,Undead,,Chaotic Evil,5,,,,,,,,x,,,,,,,,,,,,Icewind Dale: Rime of the Frostmaiden,284,,,,,,,,,,,
Dragonborn of Bahamut,Medium,Humanoid,,Lawful Good,8,,,,,,,,,,,,,,,,,,ø,,Fizban's Treasury of Dragons,184,,,Crag Cat,Large,Monstrosity,,Unaligned,1,,,,,,,,ø,,,,,,ø,,,,,,Icewind Dale: Rime of the Frostmaiden,285,Storm King's Thunder 240,,,,,,,,,,
Dragonborn of Sardior,Medium,Humanoid,,Neutral,6,,x,,,,,,,,,,,,,,,,ø,,Fizban's Treasury of Dragons,185,,,Xardorok Sunblight,Medium,Humanoid,Dwarf,Lawful Evil,5,,x,,,x,,,,,,,,,,,,,,,Icewind Dale: Rime of the Frostmaiden,287,,,,,,,,,,,
Dragonborn of Tiamat,Medium,Humanoid,,Chaotic Evil,7,,,,,,,,,,,,,,,,,,ø,,Fizban's Treasury of Dragons,185,,,Fox,Tiny,Beast,,Unaligned,0,,,,,,,,ø,,ø,ø,ø,ø,,,,,,,Icewind Dale: Rime of the Frostmaiden,288,,,,,,,,,,,
Dragonclaw,Medium,Humanoid,Human,Neutral Evil,1,,,,,,,,,,,,,,,,,,,,Hoard of the Dragon Queen,89,Rise of Tiamat 89,,Frost Druid,Medium,Humanoid,Human,Any,5,,x,,,,,,x,,,,,,,,,,,,Icewind Dale: Rime of the Frostmaiden,288,,,,,,,,,,,
Dragonfang,Medium,Humanoid,Human,Neutral Evil,5,,,,,,,,,,,,,,,,,,,,Rise of Tiamat,89,,,Frost Giant Skeleton,Huge,Undead,,Lawful Evil,6,,,,,,,,x,,,,,,,,,,,,Icewind Dale: Rime of the Frostmaiden,289,,,,,,,,,,,
Dragonflesh Abomination,Huge,Monstrosity,,Neutral Evil,6,,,,,,,,,,,,,,,,,,,,Fizban's Treasury of Dragons,187,,,Gnoll Vampire,Medium,Undead,Shapechanger,Chaotic Evil,8,,,,,,,,,,,,,,,,,,,,Icewind Dale: Rime of the Frostmaiden,290,,,,,,,,,,,
Dragonflesh Golem,Large,Construct,,Unaligned,10,,,,,,,,x,x,x,x,x,x,x,x,x,x,x,,Tome of Beasts 2,180,,,Goliath Warrior,Medium,Humanoid,Goliath,Any,3,,,,,,,,ø,,,,,,x,,,,,,Icewind Dale: Rime of the Frostmaiden,292,,,,,,,,,,,
Dragonflesh Grafter,Large,Monstrosity,,Neutral Evil,3,,,,,,,,,,,,,,,,,,,,Fizban's Treasury of Dragons,186,,,Goliath Werebear,Medium,Humanoid,"Goliath, shapechanger",Neutral Good,8,,,,,,,,ø,,,,,,x,,,,,,Icewind Dale: Rime of the Frostmaiden,293,,,,,,,,,,,
Dragonleaf Tree,Large,Plant,,Unaligned,8,,,,,,,,,,,ø,,,,,,,,,Tome of Beasts,147,,,Hare,Tiny,Beast,,Unaligned,0,,,,,,,,ø,,ø,ø,ø,ø,,,,,,,Icewind Dale: Rime of the Frostmaiden,294,,,,,,,,,,,
Dragonnel,Large,Dragon,,Neutral,2,,,,,,,,,,,,,,,,,,,,Fizban's Treasury of Dragons,190,,,Ice Troll,Large,Giant,,Chaotic Evil,8,,,,,,,,x,,,,,,,,,,,,Icewind Dale: Rime of the Frostmaiden,295,,,,,,,,,,,
Dragonslayer Ornstein,Medium,Humanoid,,Lawful Neutral,17,,,x,,x,,,,,,,,,,,,,ø,,Monster a Day Compendium 2.0,33,,,Knucklehead Trout,Small,Beast,,Unaligned,0,,,,,,,,x,ø,,,,,,,,ø,,,Icewind Dale: Rime of the Frostmaiden,295,,,,,,,,,,,
Dragonsoul,Medium,Humanoid,Human,Neutral Evil,7,,,,,,,,,,,,,,,,,,,,Rise of Tiamat,89,,,Icewind Kobold,Small,Humanoid,Kobold,Any,1/8,,,,,,,,x,,,,,,,,ø,,,,Icewind Dale: Rime of the Frostmaiden,296,,,,,,,,,,,
Dragonwing,Medium,Humanoid,Human,Neutral Evil,2,,,,,,,,,,,,,,,,,,,,Hoard of the Dragon Queen,89,Rise of Tiamat 90,,Icewind Kobold Zombie,Small,Undead,,Neutral Evil,1/8,,,,,,,,ø,,,,,,,,ø,,,,Icewind Dale: Rime of the Frostmaiden,297,,,,,,,,,,,
Drakon,Large,Beast,,Unaligned,5,,,,,,,,,ø,,,,,,,,ø,,,Tome of Beasts,157,,,Kobold Vampire Spawn,Small,Undead,,Neutral Evil,3,,,,,,,,ø,,,,,,,,ø,,,,Icewind Dale: Rime of the Frostmaiden,297,,,,,,,,,,,
Dralmorrer Borngray,Medium,Humanoid,High-Elf,Neutral Evil,3,,x,,,x,,,,,,,,,,,,,,,Hoard of the Dragon Queen,90,,,Living Bigby's Hand,Large,Construct,,Unaligned,4,,,,,,,,,,,,,,,,,,,,Icewind Dale: Rime of the Frostmaiden,298,,,,,,,,,,,
Drannin Splithelm,Medium,Humanoid,Shield Dwarf,Neutral Evil,7,,,,,x,,,,,,,,,,,,,,,Princes of the Apocalypse,209,,,Living Blade of Disaster,Small,Construct,,Chaotic Evil,8,,,,,,,,,,,,,,,,,,,,Icewind Dale: Rime of the Frostmaiden,299,,,,,,,,,,,
Dread Doppelganger,Medium,Monstrosity,Shapechanger,Neutral Evil,5,,x,,,,,,,,,,,,,,,ø,ø,,Minsc and Boo's Journal of Villainy,139,,,Living Demiplane,Medium,Construct,,Unaligned,0,,,,,,,,,,,,,,,,,,,,Icewind Dale: Rime of the Frostmaiden,299,,,,,,,,,,,
Dread Walker Excavator,Large,Construct,,Neutral,5,,,,,,,,,,,,,x,,,x,x,,,Tome of Beasts 2,129,,,Demos Magen,Medium,Construct,,Unaligned,2,,,,,,,,,,,,,,,,,,,,Icewind Dale: Rime of the Frostmaiden,300,,,,,,,,,,,
Dread Warrior,Medium,Undead,,Neutral Evil,1,,,,,,,,,,,,,,,,,,,,Tales from the Yawning Portal,233,,,Galvan Magen,Medium,Construct,,Unaligned,3,,,,,,,,,,,,,,,,,,,,Icewind Dale: Rime of the Frostmaiden,301,,,,,,,,,,,
Dream Eater,Large,Aberration,,Chaotic Evil,10,,,x,,,,,,,,,,,,,,,ø,ø,Monster a Day Compendium 2.0,34,,,Hypnos Magen,Medium,Construct,,Unaligned,1,,,,,,,,,,,,,,,,,,,,Icewind Dale: Rime of the Frostmaiden,301,,,,,,,,,,,
Dream Eater,Medium,Fiend,,Lawful Neutral,5,,x,,,,,,,,,,,,,,,,ø,,Tome of Beasts,158,,,Spitting Mimic,Large,Monstrosity,Shapechanger,Neutral,5,,,,,,,,ø,,,,,,,,ø,,,,Icewind Dale: Rime of the Frostmaiden,302,,,,,,,,,,,
Dream Squire,Medium,Fey,,Neutral,2,,,,,,,,,,,,,,,,x,,x,,Creature Codex,134,,,Gnome Ceremorph,Small,Aberration,,Any,5,,x,,,,,,,,,,,,,,,,,ø,Icewind Dale: Rime of the Frostmaiden,303,,,,,,,,,,,
Dream Wraith,Medium,Undead,,Neutral Evil,5,,,,,,,,,,,,x,,,,,,x,,Creature Codex,135,,,Gnome Squidling,Small,Aberration,,Unaligned,1/2,,x,,,,,,,,,,,,,,,,,ø,Icewind Dale: Rime of the Frostmaiden,303,,,,,,,,,,,
Dreamlands Cat,Tiny,Beast,,Any,0,,,,,,,,,,,,,,ø,,,,x,x,Sandy Petersen's Cthulhu Mythos,289,,,Mountain Goat,Medium,Beast,,Unaligned,1/8,,,,,,,,ø,,,,,,ø,,,,,,Icewind Dale: Rime of the Frostmaiden,304,,,,,,,,,,,
"Dreamlands Cat, Saturnian",Medium,Beast,,Any,1/8,,,,,,,,,,,,,,ø,,,,,x,Sandy Petersen's Cthulhu Mythos,288,,,Gunvald Halraggson,Medium,Humanoid,Human,Neutral,5,,,,,x,,,,,,,,,,,,,,,Icewind Dale: Rime of the Frostmaiden,305,,,,,,,,,,,
"Dreamlands Cat, Uranian",Medium,Beast,,Any,1/8,,,,,,,,,,,,,,ø,,,,,x,Sandy Petersen's Cthulhu Mythos,289,,,Jarund Elkhardt,Medium,Humanoid,Human,Neutral,5,,,,,x,,,,,,,,,,,,,,,Icewind Dale: Rime of the Frostmaiden,305,,,,,,,,,,,
Drelnza,Medium,Undead,Vampire,Lawful Evil,15,,,x,,x,,,,,,,,,,,,,,,Quests from the Infinite Staircase,197,,,Bjornhild Solvigsdottir,Medium,Humanoid,Human,Neutral Evil,5,,,,,x,,,,,,,,,,,,,,,Icewind Dale: Rime of the Frostmaiden,306,,,,,,,,,,,
Dretch,Small,Fiend,Demon,Chaotic Evil,1/4,,,,,,,,,,,,,,,,,,,ø,Monster Manual,57,,,Issar Kronenstrom,Medium,Humanoid,Human,Chaotic Evil,8,,,,,x,,,,,,,,,,,,,,,Icewind Dale: Rime of the Frostmaiden,307,,,,,,,,,,,
Drider,Large,Monstrosity,,Chaotic Evil,6,,x,,,,,,,,,,,,,,x,,,,Monster Manual,120,,,Seal,Medium,Beast,,Unaligned,0,,,,,,,,ø,ø,,,,,,,,ø,,,Icewind Dale: Rime of the Frostmaiden,308,,,,,,,,,,,
Droki,Small,Humanoid,Derro,Chaotic Evil,2,,x,,,,,,,,,,,,,,,,,,Out of the Abyss,231,,,Snow Golem,Medium,Construct,,Unaligned,4,,,,,,,,x,,,,,,,,,,,,Icewind Dale: Rime of the Frostmaiden,308,,,,,,,,,,,
Droth,Huge,Aberration,Shoth,Lawful Neutral,12,,,,,,,,,,,,,,,,,,,x,Creature Codex,333,,,Sperm Whale,Gargantuan,Beast,,Unaligned,8,,,,,,,,ø,,,,,,,,,ø,,,Icewind Dale: Rime of the Frostmaiden,309,,,,,,,,,,,
Drow,Medium,Humanoid,Elf,Neutral Evil,1/4,,x,,,,,,,,,,,,,,x,,,,Monster Manual,128,,,Tomb Tapper,Huge,Construct,,Lawful Neutral,10,,,,,,,,,,,,,,,,x,,,,Icewind Dale: Rime of the Frostmaiden,310,,,,,,,,,,,
Drow Arachnomancer,Medium,Humanoid,elf,Chaotic Evil,13,,x,,,,,,,,,,,,,,x,,,,Mordenkainen Presents: Monsters of the Multiverse,99,,,Verbeeg Longstrider,Large,Giant,,Neutral,5,,x,,,,,,ø,,,,,ø,ø,,,,,,Icewind Dale: Rime of the Frostmaiden,311,,,,,,,,,,,
